class_id,latitude,longitude,class_name,tree_presence,tree_cover,vegetation_height,shrub_presence,herb_presence,graminoid_proxy_ndvi_std,builtup_presence,building_presence,bareSoil_presence,bare_soil_temporal_length,waterbody_presence,artificiality,construction_use,vegetation_artificiality,elev,timber_extraction_rotation,agricultural_activity_type,residential,oilpalm_presence,rubber_presence,mangrove_presence,coffee_presence,other_species_presence
20,-3.396733605,104.5764789,Settlement,0,9.0,0,0,0.0,0,0.956,1,0,0,0,0,23,1,17,0,0,2,0,0,,,
21,-3.383298333,104.7336354,Cleared Land,0,22.0,0,0,0.014810259,0,0.0,0,1,0,0,0,11,0,33,0,0,0,0,0,,,
20,-3.311167915,104.6774775,Settlement,0,11.0,0,0,0.0,0,0.9881,1,0,0,0,0,21,1,12,0,0,1,0,0,,,
23,-3.433253642,104.6654201,Waterbody,0,15.0,0,0,0.0,0,0.77811072,1,0,0,0,0,23,1,13,0,0,2,0,0,,,
21,-3.515314479,104.4215162,Cleared Land,0,6.0,0,0,0.667434065,0,0.41981955,1,1,0,0,0,12,1,36,0,0,1,0,0,,,
16,-3.263642816,104.6821016,Mixed/home Garden,0,14.0,0,0,0.0,0,0.37872935,1,0,0,0,0,21,1,7,0,1,1,0,0,,,
17,-3.106834068,104.7675469,Paddy Field,0,5.0,0,0,0.938290698,1,0.0,0,0,0,18,0,21,1,3,0,1,0,0,0,,,
21,-3.354421195,104.7002323,Cleared Land,0,12.0,0,0,0.013281034,1,0.0,0,1,0,0,0,11,0,20,0,0,0,0,0,,,
8,-3.553818817,104.5855888,Rubber monoculture,1,45.0,11,0,0.0,0,0.0,0,0,0,0,0,13,0,18,21,0,0,0,1,,,0.0
20,-3.045949502,104.7469146,Settlement,0,7.0,0,0,0.0,0,0.9114,1,0,0,0,0,30,1,6,0,0,2,0,0,,,
9,-3.705165166,104.3849828,Oil palm monoculture,1,64.0,13,0,0.0,0,0.0,0,0,0,0,0,11,0,31,7,1,0,1,0,,,
6,-3.682392536,104.5815756,Secondary Swamp Forest,0,28.0,0,0,0.744885773,0,0.0,0,0,0,33,0,11,0,18,0,0,0,0,0,,,
23,-3.491123856,104.6021544,Waterbody,0,29.0,0,0,0.0,0,0.554033001,0,0,0,0,0,11,1,20,0,0,1,0,1,,,
21,-3.190509099,104.6012313,Cleared Land,0,32.0,0,0,0.724729856,0,0.0,0,1,0,0,0,12,0,20,0,0,0,0,0,,,
6,-3.588430359,104.6328642,Secondary Swamp Forest,0,43.0,5,0,0.872817459,0,0.0,0,0,0,19,0,11,0,24,0,0,0,0,1,,,
8,-3.391462947,104.7409796,Rubber monoculture,1,22.0,9,0,0.0,0,0.387482626,0,0,0,0,0,11,1,23,0,0,1,0,1,,,0.0
8,-3.372792691,104.7562609,Rubber monoculture,1,14.0,6,0,0.0,0,0.805696393,1,0,0,0,0,12,1,16,0,0,1,0,0,,,0.0
21,-3.108845123,104.6802065,Cleared Land,0,31.0,0,0,0.074525984,1,0.0,0,1,0,0,0,11,0,8,0,0,0,0,0,,,
6,-3.117892639,104.7016637,Secondary Swamp Forest,0,14.0,0,0,0.806531273,0,0.736901973,1,0,0,22,0,13,1,4,0,0,1,0,0,,,
9,-3.115787943,104.6734375,Oil palm monoculture,1,31.0,11,0,0.0,0,0.0,0,0,0,0,0,11,0,10,9,1,0,1,0,,,
20,-3.359896971,104.6231389,Settlement,0,13.0,0,0,0.0,0,0.9932,1,0,0,0,0,23,1,15,0,0,2,0,0,,,
8,-3.439081687,104.6335331,Rubber monoculture,0,31.0,0,0,0.734659388,0,0.0,0,0,0,0,0,12,0,27,0,0,0,0,1,,,0.0
13,-3.305553906,104.6247442,Other Cropland,0,9.0,0,0,0.97315326,1,0.424889099,0,0,0,0,0,11,1,22,0,1,1,0,0,,,
6,-3.273573234,104.5617103,Secondary Swamp Forest,0,30.0,0,0,0.899385189,0,0.0,0,0,0,16,0,11,0,6,0,0,0,0,0,,,
23,-3.172632563,104.7581159,Waterbody,0,,0,0,0.0,1,0.0,0,0,2,89,0,21,0,4,0,0,0,0,0,,,
9,-3.097862357,104.6297919,Oil palm monoculture,1,29.0,10,0,0.0,0,0.0,0,0,0,0,0,12,0,6,0,1,0,1,0,,,
2,-3.522881574,104.5857493,Secondary Dryland Forest,1,39.0,12,0,0.0,0,0.0,0,0,0,0,0,11,0,17,0,0,0,0,0,,,
23,-3.277720198,104.5981768,Waterbody,0,,0,0,0.0,1,0.0,0,0,0,74,0,13,0,1,0,0,0,0,0,,,
6,-3.661657717,104.5527609,Secondary Swamp Forest,0,37.0,0,0,0.366260658,1,0.0,0,0,0,10,0,11,0,17,0,0,0,0,0,,,
8,-3.404599459,104.6969994,Rubber monoculture,0,19.0,0,0,0.0,0,0.157922218,0,0,0,0,0,12,1,10,0,0,1,0,1,,,0.0
21,-3.197585693,104.5785077,Cleared Land,0,22.0,0,0,0.543542112,1,0.0,0,1,0,0,0,21,0,19,0,0,0,0,0,,,
6,-3.660493891,104.5439854,Secondary Swamp Forest,1,39.0,10,0,0.0,0,0.0,0,0,0,20,0,11,0,22,0,0,0,0,0,,,
21,-3.512621182,104.4426256,Cleared Land,0,7.0,3,0,0.0,0,0.407017246,0,1,0,0,0,11,1,22,0,0,1,0,0,,,
